ID,Type,SKU,Parent,Categories,Regular price,Sale price,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default
29521,variable,ST-COMFORT-TEE-C2,,Tees,,,Size,"S, M, L, XL, XXL",1,1,S,Colors,"Black / Navy Blue, Olive Green / Maroon, Asphalt / Bottle Green, Black / Maroon",1,1,Black / Navy Blue
,variation,ST-COMFORT-TEE-C2-S-1,ST-COMFORT-TEE-C2,,2198,1399,Size,S,,1,,Colors,Black / Navy Blue,,1,
,variation,ST-COMFORT-TEE-C2-S-2,ST-COMFORT-TEE-C2,,2198,1399,Size,S,,1,,Colors,Olive Green / Maroon,,1,
,variation,ST-COMFORT-TEE-C2-S-3,ST-COMFORT-TEE-C2,,2198,1399,Size,S,,1,,Colors,Asphalt / Bottle Green,,1,
,variation,ST-COMFORT-TEE-C2-S-4,ST-COMFORT-TEE-C2,,2198,1399,Size,S,,1,,Colors,Black / Maroon,,1,
,variation,ST-COMFORT-TEE-C2-M-1,ST-COMFORT-TEE-C2,,2198,1399,Size,M,,1,,Colors,Black / Navy Blue,,1,
,variation,ST-COMFORT-TEE-C2-M-2,ST-COMFORT-TEE-C2,,2198,1399,Size,M,,1,,Colors,Olive Green / Maroon,,1,
,variation,ST-COMFORT-TEE-C2-M-3,ST-COMFORT-TEE-C2,,2198,1399,Size,M,,1,,Colors,Asphalt / Bottle Green,,1,
,variation,ST-COMFORT-TEE-C2-M-4,ST-COMFORT-TEE-C2,,2198,1399,Size,M,,1,,Colors,Black / Maroon,,1,
,variation,ST-COMFORT-TEE-C2-L-1,ST-COMFORT-TEE-C2,,2198,1399,Size,L,,1,,Colors,Black / Navy Blue,,1,
,variation,ST-COMFORT-TEE-C2-L-2,ST-COMFORT-TEE-C2,,2198,1399,Size,L,,1,,Colors,Olive Green / Maroon,,1,
,variation,ST-COMFORT-TEE-C2-L-3,ST-COMFORT-TEE-C2,,2198,1399,Size,L,,1,,Colors,Asphalt / Bottle Green,,1,
,variation,ST-COMFORT-TEE-C2-L-4,ST-COMFORT-TEE-C2,,2198,1399,Size,L,,1,,Colors,Black / Maroon,,1,
,variation,ST-COMFORT-TEE-C2-XL-1,ST-COMFORT-TEE-C2,,2198,1399,Size,XL,,1,,Colors,Black / Navy Blue,,1,
,variation,ST-COMFORT-TEE-C2-XL-2,ST-COMFORT-TEE-C2,,2198,1399,Size,XL,,1,,Colors,Olive Green / Maroon,,1,
,variation,ST-COMFORT-TEE-C2-XL-3,ST-COMFORT-TEE-C2,,2198,1399,Size,XL,,1,,Colors,Asphalt / Bottle Green,,1,
,variation,ST-COMFORT-TEE-C2-XL-4,ST-COMFORT-TEE-C2,,2198,1399,Size,XL,,1,,Colors,Black / Maroon,,1,
,variation,ST-COMFORT-TEE-C2-XXL-1,ST-COMFORT-TEE-C2,,2198,1399,Size,XXL,,1,,Colors,Black / Navy Blue,,1,
,variation,ST-COMFORT-TEE-C2-XXL-2,ST-COMFORT-TEE-C2,,2198,1399,Size,XXL,,1,,Colors,Olive Green / Maroon,,1,
,variation,ST-COMFORT-TEE-C2-XXL-3,ST-COMFORT-TEE-C2,,2198,1399,Size,XXL,,1,,Colors,Asphalt / Bottle Green,,1,
