Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Categories,Parent,Regular price,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default
variable,ST-OVERSIZE-TEE,Oversize Tee — French Terry Cotton,-1,0,visible,<ul><li>100% Ring-Spun Super Combed French Terry Cotton</li><li>Bio-washed for extra softness and smooth texture</li></ul>,"<h3>Description</h3><ul><li>100% Ring-Spun Super Combed French Terry Cotton</li><li>Bio-washed for extra softness and smooth texture</li><li>Breathability</li><li>Enhance Fabric Stability for Reduce Pilling</li><li>Reinforced Stitches for extended wear</li><li>Hypoallergenic, skin-friendly fabric</li></ul><h3>Fabric</h3><ul><li>100% Ring Spun Super Combed French Terry Cotton</li><li>250 GSM</li></ul><h3>Fabric Care</h3><ul><li>Machine wash cold</li><li>Do not bleach</li><li>Tumble dry low</li><li>Iron Medium</li><li>Dry Flat</li></ul>",taxable,1,Tees,,,0,Size,"S, M, L, XL, XXL",1,1,S,Color,"Black, Dessert, Lagoon Blue, Peacock Blue, Rose Mist, Olive Green",1,1,Black
variation,ST-OVERSIZE-TEE-S-BLACK,"Oversize Tee — French Terry Cotton - S, Black",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,1,Size,S,,1,,Color,Black,,1,
variation,ST-OVERSIZE-TEE-S-DESSERT,"Oversize Tee — French Terry Cotton - S, Dessert",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,2,Size,S,,1,,Color,Dessert,,1,
variation,ST-OVERSIZE-TEE-S-LAGOON-BLUE,"Oversize Tee — French Terry Cotton - S, Lagoon Blue",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,3,Size,S,,1,,Color,Lagoon Blue,,1,
variation,ST-OVERSIZE-TEE-S-PEACOCK-BLUE,"Oversize Tee — French Terry Cotton - S, Peacock Blue",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,4,Size,S,,1,,Color,Peacock Blue,,1,
variation,ST-OVERSIZE-TEE-S-ROSE-MIST,"Oversize Tee — French Terry Cotton - S, Rose Mist",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,5,Size,S,,1,,Color,Rose Mist,,1,
variation,ST-OVERSIZE-TEE-S-OLIVE-GREEN,"Oversize Tee — French Terry Cotton - S, Olive Green",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,6,Size,S,,1,,Color,Olive Green,,1,
variation,ST-OVERSIZE-TEE-M-BLACK,"Oversize Tee — French Terry Cotton - M, Black",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,7,Size,M,,1,,Color,Black,,1,
variation,ST-OVERSIZE-TEE-M-DESSERT,"Oversize Tee — French Terry Cotton - M, Dessert",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,8,Size,M,,1,,Color,Dessert,,1,
variation,ST-OVERSIZE-TEE-M-LAGOON-BLUE,"Oversize Tee — French Terry Cotton - M, Lagoon Blue",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,9,Size,M,,1,,Color,Lagoon Blue,,1,
variation,ST-OVERSIZE-TEE-M-PEACOCK-BLUE,"Oversize Tee — French Terry Cotton - M, Peacock Blue",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,10,Size,M,,1,,Color,Peacock Blue,,1,
variation,ST-OVERSIZE-TEE-M-ROSE-MIST,"Oversize Tee — French Terry Cotton - M, Rose Mist",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,11,Size,M,,1,,Color,Rose Mist,,1,
variation,ST-OVERSIZE-TEE-M-OLIVE-GREEN,"Oversize Tee — French Terry Cotton - M, Olive Green",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,12,Size,M,,1,,Color,Olive Green,,1,
variation,ST-OVERSIZE-TEE-L-BLACK,"Oversize Tee — French Terry Cotton - L, Black",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,13,Size,L,,1,,Color,Black,,1,
variation,ST-OVERSIZE-TEE-L-DESSERT,"Oversize Tee — French Terry Cotton - L, Dessert",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,14,Size,L,,1,,Color,Dessert,,1,
variation,ST-OVERSIZE-TEE-L-LAGOON-BLUE,"Oversize Tee — French Terry Cotton - L, Lagoon Blue",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,15,Size,L,,1,,Color,Lagoon Blue,,1,
variation,ST-OVERSIZE-TEE-L-PEACOCK-BLUE,"Oversize Tee — French Terry Cotton - L, Peacock Blue",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,16,Size,L,,1,,Color,Peacock Blue,,1,
variation,ST-OVERSIZE-TEE-L-ROSE-MIST,"Oversize Tee — French Terry Cotton - L, Rose Mist",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,17,Size,L,,1,,Color,Rose Mist,,1,
variation,ST-OVERSIZE-TEE-L-OLIVE-GREEN,"Oversize Tee — French Terry Cotton - L, Olive Green",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,18,Size,L,,1,,Color,Olive Green,,1,
variation,ST-OVERSIZE-TEE-XL-BLACK,"Oversize Tee — French Terry Cotton - XL, Black",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,19,Size,XL,,1,,Color,Black,,1,
variation,ST-OVERSIZE-TEE-XL-DESSERT,"Oversize Tee — French Terry Cotton - XL, Dessert",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,20,Size,XL,,1,,Color,Dessert,,1,
variation,ST-OVERSIZE-TEE-XL-LAGOON-BLUE,"Oversize Tee — French Terry Cotton - XL, Lagoon Blue",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,21,Size,XL,,1,,Color,Lagoon Blue,,1,
variation,ST-OVERSIZE-TEE-XL-PEACOCK-BLUE,"Oversize Tee — French Terry Cotton - XL, Peacock Blue",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,22,Size,XL,,1,,Color,Peacock Blue,,1,
variation,ST-OVERSIZE-TEE-XL-ROSE-MIST,"Oversize Tee — French Terry Cotton - XL, Rose Mist",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,23,Size,XL,,1,,Color,Rose Mist,,1,
variation,ST-OVERSIZE-TEE-XL-OLIVE-GREEN,"Oversize Tee — French Terry Cotton - XL, Olive Green",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,24,Size,XL,,1,,Color,Olive Green,,1,
variation,ST-OVERSIZE-TEE-XXL-BLACK,"Oversize Tee — French Terry Cotton - XXL, Black",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,25,Size,XXL,,1,,Color,Black,,1,
variation,ST-OVERSIZE-TEE-XXL-DESSERT,"Oversize Tee — French Terry Cotton - XXL, Dessert",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,26,Size,XXL,,1,,Color,Dessert,,1,
variation,ST-OVERSIZE-TEE-XXL-LAGOON-BLUE,"Oversize Tee — French Terry Cotton - XXL, Lagoon Blue",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,27,Size,XXL,,1,,Color,Lagoon Blue,,1,
variation,ST-OVERSIZE-TEE-XXL-PEACOCK-BLUE,"Oversize Tee — French Terry Cotton - XXL, Peacock Blue",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,28,Size,XXL,,1,,Color,Peacock Blue,,1,
variation,ST-OVERSIZE-TEE-XXL-ROSE-MIST,"Oversize Tee — French Terry Cotton - XXL, Rose Mist",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,29,Size,XXL,,1,,Color,Rose Mist,,1,
variation,ST-OVERSIZE-TEE-XXL-OLIVE-GREEN,"Oversize Tee — French Terry Cotton - XXL, Olive Green",1,0,visible,,,taxable,1,,ST-OVERSIZE-TEE,999,30,Size,XXL,,1,,Color,Olive Green,,1,
variable,ST-COMFORT-TEE,Comfort Tee — 100% Cotton,-1,0,visible,<ul><li>Super soft long-staple cotton for everyday comfort</li><li>Specially treated & anti-microbial for long-lasting freshness</li></ul>,<h3>Description</h3><ul><li>Super soft long-staple cotton for everyday comfort</li><li>Specially treated & anti-microbial for long-lasting freshness</li><li>Ultra-soft & breathable – feels great all day</li><li>Hypoallergenic – gentle on sensitive skin</li><li>Enhanced mobility – perfect fit for active lifestyles</li><li>Durable & long-lasting – retains shape and colour wash after wash</li></ul><h3>Fabric</h3><ul><li>Made with 100% Ring Spun Super Combed Cotton</li><li>180 GSM</li></ul><h3>Fabric Care</h3><ul><li>Machine wash cold</li><li>Do not bleach</li><li>Tumble dry low</li><li>Iron Medium</li><li>Dry Flat</li></ul>,taxable,1,Tees,,,0,Size,"S, M, L, XL, XXL",1,1,S,Color,"Black, Navy Blue, Olive Green, Kiwi Green, Bottle Green, Maroon, Asphalt",1,1,Black
variation,ST-COMFORT-TEE-S-BLACK,"Comfort Tee — 100% Cotton - S, Black",1,0,visible,,,taxable,1,,ST-COMFORT-TEE,999,1,Size,S,,1,,Color,Black,,1,
variation,ST-COMFORT-TEE-S-NAVY-BLUE,"Comfort Tee — 100% Cotton - S, Navy Blue",1,0,visible,,,taxable,1,,ST-COMFORT-TEE,999,2,Size,S,,1,,Color,Navy Blue,,1,
variation,ST-COMFORT-TEE-S-OLIVE-GREEN,"Comfort Tee — 100% Cotton - S, Olive Green",1,0,visible,,,taxable,1,,ST-COMFORT-TEE,999,3,Size,S,,1,,Color,Olive Green,,1,
variation,ST-COMFORT-TEE-S-KIWI-GREEN,"Comfort Tee — 100% Cotton - S, Kiwi Green",1,0,visible,,,taxable,1,,ST-COMFORT-TEE,999,4,Size,S,,1,,Color,Kiwi Green,,1,
variation,ST-COMFORT-TEE-S-BOTTLE-GREEN,"Comfort Tee — 100% Cotton - S, Bottle Green",1,0,visible,,,taxable,1,,ST-COMFORT-TEE,999,5,Size,S,,1,,Color,Bottle Green,,1,
variation,ST-COMFORT-TEE-S-MAROON,"Comfort Tee — 100% Cotton - S, Maroon",1,0,visible,,,taxable,1,,ST-COMFORT-TEE,999,6,Size,S,,1,,Color,Maroon,,1,
variation,ST-COMFORT-TEE-S-ASPHALT,"Comfort Tee — 100% Cotton - S, Asphalt",1,0,visible,,,taxable,1,,ST-COMFORT-TEE,999,7,Size,S,,1,,Color,Asphalt,,1,
variation,ST-COMFORT-TEE-M-BLACK,"Comfort Tee — 100% Cotton - M, Black",1,0,visible,,,taxable,1,,ST-COMFORT-TEE,999,8,Size,M,,1,,Color,Black,,1,
variation,ST-COMFORT-TEE-M-NAVY-BLUE,"Comfort Tee — 100% Cotton - M, Navy Blue",1,0,visible,,,taxable,1,,ST-COMFORT-TEE,999,9,Size,M,,1,,Color,Navy Blue,,1,
variation,ST-COMFORT-TEE-M-OLIVE-GREEN,"Comfort Tee — 100% Cotton - M, Olive Green",1,0,visible,,,taxable,1,,ST-COMFORT-TEE,999,10,Size,M,,1,,Color,Olive Green,,1,
variation,ST-COMFORT-TEE-M-KIWI-GREEN,"Comfort Tee — 100% Cotton - M, Kiwi Green",1,0,visible,,,taxable,1,,ST-COMFORT-TEE,999,11,Size,M,,1,,Color,Kiwi Green,,1,
variation,ST-COMFORT-TEE-M-BOTTLE-GREEN,"Comfort Tee — 100% Cotton - M, Bottle Green",1,0,visible,,,taxable,1,,ST-COMFORT-TEE,999,12,Size,M,,1,,Color,Bottle Green,,1,
variation,ST-COMFORT-TEE-M-MAROON,"Comfort Tee — 100% Cotton - M, Maroon",1,0,visible,,,taxable,1,,ST-COMFORT-TEE,999,13,Size,M,,1,,Color,Maroon,,1,
variation,ST-COMFORT-TEE-M-ASPHALT,"Comfort Tee — 100% Cotton - M, Asphalt",1,0,visible,,,taxable,1,,ST-COMFORT-TEE,999,14,Size,M,,1,,Color,Asphalt,,1,
